timestamp_ms,open_time,open,high,low,close,volume
1735689600000,2025-01-01 00:00:00,93530.0,94457.9,93451.0,94343.2,3153.341
1735693200000,2025-01-01 01:00:00,94343.2,94360.0,93537.3,93575.2,2561.427
1735696800000,2025-01-01 02:00:00,93575.2,94066.7,93550.0,94056.3,1104.863
1735700400000,2025-01-01 03:00:00,94056.3,94057.5,93679.7,93802.0,919.441
1735704000000,2025-01-01 04:00:00,93802.0,93802.0,93472.9,93523.3,1166.151
1735707600000,2025-01-01 05:00:00,93523.3,93909.3,93500.6,93755.9,1233.204
1735711200000,2025-01-01 06:00:00,93755.9,93756.4,93516.5,93720.1,861.11
1735714800000,2025-01-01 07:00:00,93720.1,93774.1,93601.6,93642.7,859.776
1735718400000,2025-01-01 08:00:00,93642.7,93737.7,93250.5,93375.0,2072.463
1735722000000,2025-01-01 09:00:00,93375.0,93438.9,92840.0,93368.4,3900.419
1735725600000,2025-01-01 10:00:00,93368.4,93510.0,93239.8,93297.8,1596.828
1735729200000,2025-01-01 11:00:00,93297.8,93674.8,93155.5,93393.3,1991.185
1735732800000,2025-01-01 12:00:00,93393.3,93961.5,93351.2,93772.2,2377.623
1735736400000,2025-01-01 13:00:00,93772.2,94039.1,93561.9,93985.9,1637.873
1735740000000,2025-01-01 14:00:00,93985.9,94429.9,93604.2,94134.4,4793.719
1735743600000,2025-01-01 15:00:00,94134.4,94481.4,93851.4,94411.6,2298.89
1735747200000,2025-01-01 16:00:00,94411.6,94470.4,93891.9,94060.1,1957.371
1735750800000,2025-01-01 17:00:00,94060.1,94164.6,93687.7,94106.0,1600.265
1735754400000,2025-01-01 18:00:00,94106.0,94357.7,93881.3,94300.0,1120.851
1735758000000,2025-01-01 19:00:00,94300.0,94786.8,94100.0,94583.4,2381.442
1735761600000,2025-01-01 20:00:00,94583.4,94863.8,94540.1,94751.4,1963.573
1735765200000,2025-01-01 21:00:00,94751.4,95158.4,94646.7,94946.9,2091.371
1735768800000,2025-01-01 22:00:00,94946.9,94982.1,94639.2,94761.1,1507.954
1735772400000,2025-01-01 23:00:00,94761.1,94943.4,94500.0,94564.6,1679.23
1735776000000,2025-01-02 00:00:00,94564.6,95355.0,94339.9,95104.9,4471.319
1735779600000,2025-01-02 01:00:00,95104.9,95515.7,94688.9,94844.5,3562.47
1735783200000,2025-01-02 02:00:00,94844.5,95220.8,94771.6,95217.0,1694.473
1735786800000,2025-01-02 03:00:00,95217.0,95286.0,94881.1,94985.8,1085.773
1735790400000,2025-01-02 04:00:00,94985.8,95987.5,94957.8,95685.8,4479.418
1735794000000,2025-01-02 05:00:00,95685.8,95775.2,95346.8,95556.6,2219.185
1735797600000,2025-01-02 06:00:00,95556.6,95673.5,95334.7,95547.1,1137.792
1735801200000,2025-01-02 07:00:00,95547.1,95877.2,95468.0,95799.9,1681.211
1735804800000,2025-01-02 08:00:00,95799.9,96200.0,95591.5,96115.0,3393.05
1735808400000,2025-01-02 09:00:00,96115.0,96774.0,96005.2,96716.4,4259.238
1735812000000,2025-01-02 10:00:00,96716.4,96799.9,96489.5,96686.5,3067.978
1735815600000,2025-01-02 11:00:00,96686.5,96869.8,96450.0,96717.7,2515.292
1735819200000,2025-01-02 12:00:00,96717.7,96894.9,96572.2,96825.0,2183.916
1735822800000,2025-01-02 13:00:00,96825.0,97000.0,96400.0,96431.4,3554.687
1735826400000,2025-01-02 14:00:00,96431.4,97400.0,95889.7,97238.1,15066.589
1735830000000,2025-01-02 15:00:00,97238.1,97305.4,96126.5,96427.0,8867.892
1735833600000,2025-01-02 16:00:00,96427.0,97685.0,96003.0,97195.2,7855.715
1735837200000,2025-01-02 17:00:00,97195.2,97573.6,96300.0,96729.2,5948.693
1735840800000,2025-01-02 18:00:00,96729.2,97339.8,96354.5,97288.2,4502.017
1735844400000,2025-01-02 19:00:00,97288.2,97764.0,97156.3,97294.1,4377.761
1735848000000,2025-01-02 20:00:00,97294.1,97844.8,97236.0,97248.1,3987.762
1735851600000,2025-01-02 21:00:00,97248.1,97306.0,96987.0,97163.5,2107.581
1735855200000,2025-01-02 22:00:00,97163.5,97163.5,96618.3,96850.2,2718.573
1735858800000,2025-01-02 23:00:00,96850.2,97069.8,96736.2,96960.5,1288.549
1735862400000,2025-01-03 00:00:00,96960.5,97049.4,96735.6,96796.3,1706.645
1735866000000,2025-01-03 01:00:00,96796.3,96984.0,96605.3,96952.3,1429.417
1735869600000,2025-01-03 02:00:00,96952.3,97329.6,96815.8,96939.8,1847.897
1735873200000,2025-01-03 03:00:00,96939.8,97064.7,96779.1,97024.2,898.445
1735876800000,2025-01-03 04:00:00,97024.2,97042.8,96725.0,96777.6,977.381
1735880400000,2025-01-03 05:00:00,96777.6,96831.8,96544.4,96729.4,1503.435
1735884000000,2025-01-03 06:00:00,96729.4,96889.1,96470.0,96512.8,1410.337
1735887600000,2025-01-03 07:00:00,96512.8,96611.9,96253.5,96283.3,2341.925
1735891200000,2025-01-03 08:00:00,96283.3,96498.8,96062.1,96092.3,2421.772
1735894800000,2025-01-03 09:00:00,96092.3,96688.0,96067.8,96518.1,2361.041
1735898400000,2025-01-03 10:00:00,96518.1,96619.7,96372.1,96453.5,1285.598
1735902000000,2025-01-03 11:00:00,96453.5,96810.7,96444.1,96715.4,1663.778
1735905600000,2025-01-03 12:00:00,96715.4,96912.3,96630.0,96630.0,1907.867
1735909200000,2025-01-03 13:00:00,96630.0,96818.8,96432.0,96470.7,1902.078
1735912800000,2025-01-03 14:00:00,96470.7,97317.1,96470.7,96977.7,6079.019
1735916400000,2025-01-03 15:00:00,96977.7,97631.5,96705.5,97491.8,6084.899
1735920000000,2025-01-03 16:00:00,97491.8,98400.0,97360.2,97828.8,7957.242
1735923600000,2025-01-03 17:00:00,97828.8,98265.2,97788.9,97983.6,2400.119
1735927200000,2025-01-03 18:00:00,97983.6,98664.3,97955.0,98495.5,3206.627
1735930800000,2025-01-03 19:00:00,98495.5,98950.0,98456.9,98555.2,3850.534
1735934400000,2025-01-03 20:00:00,98555.2,98709.0,98234.8,98252.7,2895.827
1735938000000,2025-01-03 21:00:00,98252.7,98380.1,98131.4,98208.7,1797.438
1735941600000,2025-01-03 22:00:00,98208.7,98493.8,98183.4,98260.1,1198.751
1735945200000,2025-01-03 23:00:00,98260.1,98345.2,98016.9,98140.0,1220.788
1735948800000,2025-01-04 00:00:00,98140.0,98251.8,97850.6,97910.2,1471.944
1735952400000,2025-01-04 01:00:00,97910.2,98073.2,97750.0,97986.3,1245.718
1735956000000,2025-01-04 02:00:00,97986.3,98275.2,97807.3,98262.2,1147.582
1735959600000,2025-01-04 03:00:00,98262.2,98262.2,97993.4,98144.1,778.069
1735963200000,2025-01-04 04:00:00,98144.1,98151.1,97832.8,97968.8,1034.297
1735966800000,2025-01-04 05:00:00,97968.8,98150.0,97948.2,98081.6,1003.506
1735970400000,2025-01-04 06:00:00,98081.6,98212.7,98001.0,98091.6,593.419
1735974000000,2025-01-04 07:00:00,98091.6,98298.6,98060.0,98235.0,900.002
1735977600000,2025-01-04 08:00:00,98235.0,98268.2,97870.1,97877.7,1160.326
1735981200000,2025-01-04 09:00:00,97877.7,97964.2,97502.1,97661.3,2141.543
1735984800000,2025-01-04 10:00:00,97661.3,97829.0,97561.2,97745.9,1082.801
